title,year,infinite_citation
The Kuramoto model in complex networks,2015,1412.775038096736
Fundamentals of spreading processes in single and multilayer complex networks,2018,176.21075124028832
Vital nodes identification in complex networks,2016,1141.6218165485081
"Nestedness in complex networks: Observation, emergence, and implications",2019,100.12194356754176
Network dynamics of coupled oscillators and phase reduction techniques,2019,117.80479592241305
Networks beyond pairwise interactions: Structure and dynamics,2020,8886.36769329236
"Computational network biology: Data, models, and applications",2019,2294.6019865308913
Ranking in evolving complex networks,2017,263.75846061945145
Community detection in networks: A user guide,2016,2062.035117089435
"Complex systems: Features, similarity and connectivity",2020,625.8005417811522
Coevolution spreading in complex networks,2019,152.48795053595052
Recent advances in percolation theory and its applications,2015,1368.0958332136015
The physics of communicability in complex networks,2012,831.1538445011818
Complex network approaches to nonlinear time series analysis,2018,113.33333369930239
Markovian dynamics on complex reaction networks,2013,290.5112938182456
The structure and dynamics of multilayer networks,2014,5078.993309471154
Reconstruction methods for networks: The case of economic and financial systems,2018,96.64299559273482
Sequential dynamics of complex networks in mind: Consciousness and creativity,2020,208.6001805937174
Clustering and community detection in directed networks: A survey,2013,757.3646696457325
Spatial networks,2010,21125.24601239732
Structure-oriented prediction in complex networks,2018,54.29004531137469
Explosive transitions in complex networks’ structure and dynamics: Percolation and synchronization,2016,219.07862536902854
Dynamics of information diffusion and its applications on complex networks,2016,360.51186159655396
The science of science: From the perspective of complex systems,2017,313.4394319122829
Random walks and diffusion on networks,2017,861.3747602772003
Combining complex networks and data mining: Why and how,2016,493.6360549648478
Continuous-time quantum walks: Models for coherent transport on complex networks,2011,4570.396528263295
Temporal networks,2012,7620.715071690101
